class,feature0
bg,0.054901961237192154
bg,0.054901961237192154
bg,0.054901961237192154
bg,0.062745101749897
bg,0.062745101749897
bg,0.05882352963089943
bg,0.07058823853731155
bg,0.062745101749897
bg,0.054901961237192154
bg,0.04313725605607033
bg,0.03529411926865578
bg,0.10196078568696976
bg,0.19607843458652496
bg,0.16862745583057404
bg,0.05882352963089943
bg,0.05882352963089943
bg,0.04313725605607033
bg,0.0470588244497776
bg,0.0470588244497776
bg,0.04313725605607033
bg,0.0470588244497776
bg,0.04313725605607033
bg,0.03921568766236305
bg,0.03921568766236305
bg,0.03921568766236305
bg,0.03921568766236305
bg,0.04313725605607033
bg,0.04313725605607033
bg,0.03921568766236305
bg,0.04313725605607033
bg,0.04313725605607033
bg,0.03921568766236305
bg,0.04313725605607033
bg,0.0470588244497776
bg,0.05098039284348488
bg,0.05098039284348488
bg,0.0470588244497776
bg,0.0470588244497776
bg,0.0470588244497776
bg,0.05098039284348488
bg,0.03921568766236305
bg,0.03921568766236305
bg,0.03921568766236305
bg,0.03529411926865578
bg,0.03529411926865578
bg,0.03529411926865578
bg,0.03921568766236305
bg,0.03921568766236305
bg,0.03921568766236305
bg,0.03921568766236305
bg,0.03921568766236305
bg,0.0313725508749485
bg,0.03529411926865578
bg,0.03921568766236305
bg,0.03529411926865578
bg,0.03529411926865578
bg,0.03921568766236305
bg,0.03921568766236305
bg,0.03921568766236305
bg,0.03921568766236305
bg,0.04313725605607033
bg,0.03921568766236305
bg,0.0470588244497776
bg,0.05882352963089943
bg,0.0784313753247261
bg,0.12941177189350128
bg,0.20000000298023224
bg,0.22745098173618317
bg,0.1882352977991104
bg,0.11764705926179886
bg,0.0941176488995552
bg,0.09803921729326248
bg,0.0941176488995552
bg,0.10980392247438431
bg,0.0941176488995552
bg,0.07450980693101883
bg,0.0784313753247261
bg,0.07450980693101883
bg,0.07450980693101883
bg,0.062745101749897
bg,0.05882352963089943
bg,0.07450980693101883
bg,0.07450980693101883
bg,0.07450980693101883
bg,0.10980392247438431
bg,0.12941177189350128
bg,0.1882352977991104
bg,0.23137255012989044
bg,0.23529411852359772
bg,0.26274511218070984
bg,0.29411765933036804
bg,0.32549020648002625
bg,0.364705890417099
bg,0.40392157435417175
bg,0.4431372582912445
bg,0.5411764979362488
bg,0.545098066329956
bg,0.5490196347236633
bg,0.5607843399047852
bg,0.572549045085907
bg,0.5882353186607361
bg,0.5921568870544434
bg,0.5843137502670288
bg,0.5647059082984924
bg,0.5372549295425415
bg,0.4941176474094391
bg,0.30588236451148987
bg,0.32156863808631897
bg,0.1882352977991104
